Country,Date,New vaccinations smoothed per million
Australia,2021-02-22,0.0107
Australia,2021-02-23,0.0134
Australia,2021-02-24,0.0215
Australia,2021-02-25,0.0228
Australia,2021-02-26,0.0233
Australia,2021-02-27,0.0206
Australia,2021-02-28,0.0192
Australia,2021-03-01,0.0217
Australia,2021-03-02,0.0245
Australia,2021-03-03,0.0246
Australia,2021-03-04,0.0268
Australia,2021-03-05,0.026
Australia,2021-03-06,0.0274
Australia,2021-03-07,0.0287
Australia,2021-03-08,0.0294
Australia,2021-03-09,0.0317
Australia,2021-03-10,0.0355
Australia,2021-03-11,0.035
Australia,2021-03-12,0.0456
Australia,2021-03-13,0.045
Australia,2021-03-14,0.0434
Australia,2021-03-15,0.0485
Australia,2021-03-16,0.0528
Australia,2021-03-17,0.056
Australia,2021-03-18,0.0585
Australia,2021-03-19,0.0524
Australia,2021-03-20,0.0522
Australia,2021-03-21,0.0649
Australia,2021-03-22,0.0721
Australia,2021-03-23,0.0858
Australia,2021-03-24,0.101
Australia,2021-03-25,0.1215
Australia,2021-03-26,0.14
Australia,2021-03-27,0.1481
Australia,2021-03-28,0.1439
Australia,2021-03-29,0.1579
Australia,2021-03-30,0.1728
Australia,2021-03-31,0.1861
Australia,2021-04-01,0.2013
Australia,2021-04-02,0.1782
Australia,2021-04-03,0.1767
Australia,2021-04-04,0.1676
Australia,2021-04-05,0.1426
Australia,2021-04-06,0.1385
Australia,2021-04-07,0.1395
Australia,2021-04-08,0.1406
Australia,2021-04-09,0.1722
Australia,2021-04-10,0.1791
Australia,2021-04-11,0.185
Australia,2021-04-12,0.2103
Australia,2021-04-13,0.2079
Australia,2021-04-14,0.2011
Australia,2021-04-15,0.19
Australia,2021-04-16,0.186
Australia,2021-04-17,0.183
Australia,2021-04-18,0.2262
Australia,2021-04-19,0.2319
Australia,2021-04-20,0.234
Australia,2021-04-21,0.2362
Australia,2021-04-22,0.241
Australia,2021-04-23,0.2435
Australia,2021-04-24,0.2422
Australia,2021-04-25,0.1944
Australia,2021-04-26,0.1751
Australia,2021-04-27,0.1725
Australia,2021-04-28,0.1809
Australia,2021-04-29,0.1795
Australia,2021-04-30,0.1777
Australia,2021-05-01,0.1773
Australia,2021-05-02,0.179
Australia,2021-05-03,0.1926
Australia,2021-05-04,0.2032
Australia,2021-05-05,0.2001
Australia,2021-05-06,0.2077
Australia,2021-05-07,0.2176
Australia,2021-05-08,0.2217
Australia,2021-05-09,0.223
Australia,2021-05-10,0.2322
Australia,2021-05-11,0.2305
Australia,2021-05-12,0.2334
Australia,2021-05-13,0.236
Australia,2021-05-14,0.2377
Australia,2021-05-15,0.2409
Australia,2021-05-16,0.242
Australia,2021-05-17,0.2477
Australia,2021-05-18,0.2584
Australia,2021-05-19,0.2642
Australia,2021-05-20,0.2727
Australia,2021-05-21,0.2606
Australia,2021-05-22,0.2729
Australia,2021-05-23,0.2969
Australia,2021-05-24,0.281
Australia,2021-05-25,0.2861
Australia,2021-05-26,0.2963
Australia,2021-05-27,0.3095
Australia,2021-05-28,0.3467
Australia,2021-05-29,0.3496
Australia,2021-05-30,0.3365
Australia,2021-05-31,0.3723
Australia,2021-06-01,0.3912
Australia,2021-06-02,0.4077
Australia,2021-06-03,0.4181
Australia,2021-06-04,0.429
Australia,2021-06-05,0.4451
Australia,2021-06-06,0.4613
Australia,2021-06-07,0.466
Australia,2021-06-08,0.4672
Australia,2021-06-09,0.4681
Australia,2021-06-10,0.4734
Australia,2021-06-11,0.437
Australia,2021-06-12,0.4296
Australia,2021-06-13,0.4381
Australia,2021-06-14,0.4029
Australia,2021-06-15,0.4091
Australia,2021-06-16,0.4053
Australia,2021-06-17,0.3987
Australia,2021-06-18,0.4293
Australia,2021-06-19,0.4233
Australia,2021-06-20,0.4008
Australia,2021-06-21,0.4366
Australia,2021-06-22,0.4304
Australia,2021-06-23,0.432
Australia,2021-06-24,0.4304
Australia,2021-06-25,0.4244
Australia,2021-06-26,0.4267
Australia,2021-06-27,0.4343
Australia,2021-06-28,0.4328
Australia,2021-06-29,0.435
Australia,2021-06-30,0.4118
Australia,2021-07-01,0.4378
Australia,2021-07-02,0.4571
Australia,2021-07-03,0.4705
Australia,2021-07-04,0.4716
Australia,2021-07-05,0.4766
Australia,2021-07-06,0.4847
Australia,2021-07-07,0.5139
Australia,2021-07-08,0.498
Australia,2021-07-09,0.4925
Australia,2021-07-10,0.4956
Australia,2021-07-11,0.4973
Australia,2021-07-12,0.5035
Australia,2021-07-13,0.5087
Australia,2021-07-14,0.52
Australia,2021-07-15,0.5283
Australia,2021-07-16,0.5382
Australia,2021-07-17,0.5404
Australia,2021-07-18,0.5425
Australia,2021-07-19,0.5542
Australia,2021-07-20,0.5567
Australia,2021-07-21,0.5705
Australia,2021-07-22,0.5796
Australia,2021-07-23,0.5916
Australia,2021-07-24,0.6007
Australia,2021-07-25,0.6075
Australia,2021-07-26,0.6144
Australia,2021-07-27,0.6244
Australia,2021-07-28,0.64
Australia,2021-07-29,0.6493
Australia,2021-07-30,0.6639
Australia,2021-07-31,0.6669
Australia,2021-08-01,0.6705
Australia,2021-08-02,0.6758
Australia,2021-08-03,0.6912
Australia,2021-08-04,0.6909
Australia,2021-08-05,0.7102
Australia,2021-08-06,0.7242
